region,country,gender,type,total,Never,Once,2-4 Times,5 or more,unsure
africa,botswana,n,verbal,100,0,0,0,0,0
africa,kenya,n,verbal,100,0,100,0,0,0
africa,malawi,n,verbal,100,50,0,0,0,50
africa,rwanda,n,verbal,100,0,33.3,33.3,0,33.3
africa,tanzania,n,verbal,100,0,0,0,100,0
africa,uganda,n,verbal,100,0,0,0,0,0
africa,zambia,n,verbal,100,25,0,0,50,25
africa,zimbabwe,n,verbal,100,0,0,100,0,0
africa,botswana,m,verbal,100,25,25,50,0,0
africa,kenya,m,verbal,100,60,5,15,10,10
africa,malawi,m,verbal,100,75.7,5.4,2.7,5.4,10.8
africa,rwanda,m,verbal,100,70.7,4.9,9.8,2.4,12.2
africa,tanzania,m,verbal,100,61.5,0,15.4,0,23.1
africa,uganda,m,verbal,100,58.8,11.8,5.9,11.8,11.8
africa,zambia,m,verbal,100,29.4,17.6,23.5,17.6,11.8
africa,zimbabwe,m,verbal,100,66.7,0,11.1,0,22.2
africa,botswana,f,verbal,100,29.6,7.4,7.4,40.7,14.8
africa,kenya,f,verbal,100,11.3,9.7,14.5,54.8,9.7
africa,malawi,f,verbal,100,30.4,8.7,30.4,17.4,13
africa,rwanda,f,verbal,100,42.4,5.1,18.6,16.9,16.9
africa,tanzania,f,verbal,100,35.5,13.2,14.5,19.7,17.1
africa,uganda,f,verbal,100,23.7,2.6,15.8,44.7,13.2
africa,zambia,f,verbal,100,14.9,10.6,19.1,40.4,14.9
africa,zimbabwe,f,verbal,100,28.6,2,12.2,26.5,30.6
africa,botswana,n,physical,100,0,0,0,0,0
africa,kenya,n,physical,100,0,100,0,0,0
africa,malawi,n,physical,100,75,0,0,0,25
africa,rwanda,n,physical,100,66.7,33.3,0,0,0
africa,tanzania,n,physical,100,0,100,0,0,0
africa,uganda,n,physical,100,0,0,0,0,0
africa,zambia,n,physical,100,50,25,0,25,0
africa,zimbabwe,n,physical,100,100,0,0,0,0
africa,botswana,m,physical,100,75,0,25,0,0
africa,kenya,m,physical,100,80,5,15,0,0
africa,malawi,m,physical,100,89.2,0,0,0,10.8
africa,rwanda,m,physical,100,87.8,4.9,2.4,4.9,0
africa,tanzania,m,physical,100,61.5,7.7,15.4,0,15.4
africa,uganda,m,physical,100,70.6,11.8,11.8,5.9,0
africa,zambia,m,physical,100,47.1,5.9,11.8,17.6,17.6
africa,zimbabwe,m,physical,100,88.9,0,0,0,11.1
africa,botswana,f,physical,100,40.7,22.2,11.1,14.8,11.1
africa,kenya,f,physical,100,43.5,22.6,12.9,16.1,4.8
africa,malawi,f,physical,100,65.2,13,13,4.3,4.3
africa,rwanda,f,physical,100,59.3,10.2,10.2,8.5,11.9
africa,tanzania,f,physical,100,51.3,17.1,5.3,15.8,10.5
africa,uganda,f,physical,100,44.7,13.2,21.1,18.4,2.6
africa,zambia,f,physical,100,57.4,6.4,19.1,10.6,6.4
africa,zimbabwe,f,physical,100,67.3,10.2,8.2,8.2,6.1
