region,country,gender,type,total,Fellow employee,Direct supervisor,Higher management,News source,Other
africa,botswana,n,verbal,100,0.0,0.0,0.0,0.0,0.0
africa,kenya,n,verbal,100,100.0,0.0,0.0,0.0,0.0
africa,malawi,n,verbal,100,0.0,0.0,0.0,0.0,0.0
africa,rwanda,n,verbal,100,50.0,50.0,0.0,0.0,0.0
africa,tanzania,n,verbal,100,50.0,50.0,0.0,0.0,0.0
africa,uganda,n,verbal,100,0.0,0.0,0.0,0.0,0.0
africa,zambia,n,verbal,100,50.0,0.0,0.0,50.0,0.0
africa,zimbabwe,n,verbal,100,0.0,0.0,50.0,50.0,0.0
africa,botswana,m,verbal,100,0.0,20.0,60.0,0.0,0.0
africa,kenya,m,verbal,100,37.5,25.0,25.0,12.5,0.0
africa,malawi,m,verbal,100,80.0,20.0,0.0,0.0,0.0
africa,rwanda,m,verbal,100,28.6,28.6,42.9,0.0,0.0
africa,tanzania,m,verbal,100,100.0,0.0,0.0,0.0,0.0
africa,uganda,m,verbal,100,57.1,0.0,28.6,14.3,0.0
africa,zambia,m,verbal,100,42.9,14.3,21.4,21.4,0.0
africa,zimbabwe,m,verbal,100,100.0,0.0,0.0,0.0,0.0
africa,botswana,f,verbal,100,40.7,22.2,11.1,22.2,3.7
africa,kenya,f,verbal,100,42.2,28.9,12.0,15.7,1.2
africa,malawi,f,verbal,100,45.5,21.2,21.2,12.1,0.0
africa,rwanda,f,verbal,100,33.3,21.2,18.2,18.2,9.1
africa,tanzania,f,verbal,100,36.7,22.4,18.4,18.4,4.1
africa,uganda,f,verbal,100,45.5,27.3,9.1,15.2,3.0
africa,zambia,f,verbal,100,38.9,20.4,22.2,18.5,0.0
africa,zimbabwe,f,verbal,100,27.5,20.0,25.0,22.5,5.0
africa,botswana,n,physical,100,0.0,0.0,0.0,0.0,0.0
africa,kenya,n,physical,100,0.0,0.0,100.0,0.0,0.0
africa,malawi,n,physical,100,0.0,0.0,0.0,0.0,0.0
africa,rwanda,n,physical,100,100.0,0.0,0.0,0.0,0.0
africa,tanzania,n,physical,100,100.0,0.0,0.0,0.0,0.0
africa,uganda,n,physical,100,0.0,0.0,0.0,0.0,0.0
africa,zambia,n,physical,100,50.0,0.0,0.0,50.0,0.0
africa,zimbabwe,n,physical,100,0.0,0.0,0.0,0.0,0.0
africa,botswana,m,physical,100,25.0,25.0,25.0,25.0,0.0
africa,kenya,m,physical,100,25.0,25.0,25.0,25.0,0.0
africa,malawi,m,physical,100,0.0,0.0,0.0,0.0,0.0
africa,rwanda,m,physical,100,40.0,0.0,60.0,0.0,0.0
africa,tanzania,m,physical,100,50.0,0.0,25.0,25.0,0.0
africa,uganda,m,physical,100,44.4,22.2,0.0,33.3,0.0
africa,zambia,m,physical,100,37.5,12.5,12.5,37.5,0.0
africa,zimbabwe,m,physical,100,0.0,0.0,0.0,0.0,0.0
africa,botswana,f,physical,100,36.8,15.8,21.1,21.1,5.3
africa,kenya,f,physical,100,52.3,18.2,15.9,9.1,4.5
africa,malawi,f,physical,100,43.8,31.3,25.0,0.0,0.0
africa,rwanda,f,physical,100,40.9,27.3,13.6,9.1,9.1
africa,tanzania,f,physical,100,34.3,17.1,28.6,17.1,2.9
africa,uganda,f,physical,100,32.4,26.5,17.6,20.6,2.9
africa,zambia,f,physical,100,17.4,26.1,30.4,21.7,4.3
africa,zimbabwe,f,physical,100,33.3,27.8,16.7,16.7,5.6
